Time,Reading1,Reading2
92035522,493,459
92036061,494,459
92036597,493,459
92037134,494,459
92037670,495,460
92038207,495,460
92038744,495,459
92039279,493,460
92039816,494,460
92040352,494,459
92040889,493,460
92041425,494,460
92041962,494,460
92042499,494,460
92043034,493,460
92043571,494,460
92044107,494,460
92044644,494,460
92045180,493,460
92045717,494,460
92046254,493,460
92046789,494,460
92047326,495,460
92047862,495,460
92048399,494,460
92048935,494,460
92049475,494,460
92050011,495,460
92050547,494,459
92051084,495,460
92051620,495,460
92052157,495,460
92052694,494,460
92053230,494,460
92053767,494,460
92054302,495,460
92054839,495,460
92055375,495,460
92055912,495,459
92056449,493,460
92056985,493,460
92057522,494,460
92058058,493,460
92058595,493,460
92059130,493,459
92059667,494,459
92060204,493,460
92060740,494,460
92061277,494,460
92061813,494,459
92062350,493,459
92062886,494,459
92063426,494,460
92063962,494,460
92064498,494,460
92065035,494,459
92065571,495,460
92066108,493,460
92066644,493,460
92067181,494,460
92067718,495,460
92068254,495,460
92068791,494,460
92069327,495,459
92069863,495,459
92070400,494,459
92070936,494,460
92071473,494,460
92072009,494,460
92072546,493,460
92073082,495,460
92073619,494,460
92074156,494,460
92074692,495,460
92075229,494,460
92075765,494,460
92076301,495,460
92076840,494,460
92077377,495,460
92077914,494,460
92078450,494,460
92078987,495,460
92079523,493,460
92080060,495,459
92080596,494,459
92081133,495,460
92081670,495,460
92082206,494,460
92082743,494,460
92083279,495,460
92083816,494,460
92084353,495,460
92084888,494,460
92085425,494,460
92085961,493,460
92086498,494,460
92087034,495,460
92087571,494,460
92088108,494,460
92088644,493,460
92089181,494,460
92089717,493,460
92090254,493,460
92090793,494,460
92091330,495,460
92091867,495,460
92092403,494,459
92092940,494,460
92093476,494,460
92094013,494,459
92094550,495,460
92095085,494,460
92095622,494,460
92096158,494,461
92096695,495,460
92097231,494,460
92097768,493,460
92098305,495,460
92098841,494,460
92099378,494,460
92099914,493,460
92100451,493,459
92100987,494,460
92101524,493,460
92102061,494,459
92102597,494,459
92103134,494,460
92103670,493,460
92104207,494,459
92104747,493,460
92105283,494,460
92105820,494,460
92106356,495,459
92106893,494,460
92107429,493,459
92107966,495,460
92108503,494,461
92109039,495,460
92109576,493,460
92110112,495,460
92110649,495,459
92111185,494,460
92111722,493,460
92112259,494,460
92112795,494,460
92113332,494,460
92113868,494,459
92114405,494,460
92114941,494,459
92115478,495,459
92116015,494,460
92116551,493,459
92117088,494,460
92117624,493,459
92118164,494,460
92118701,493,460
92119237,496,460
92119774,493,460
92120310,494,460
92120847,493,460
92121383,494,460
92121920,494,460
92122457,493,460
92122993,493,459
92123530,494,459
92124066,493,460
92124603,495,460
92125139,495,460
92125676,495,460
92126213,493,460
92126749,493,460
92127286,494,460
92127822,495,460
92128359,495,460
92128896,495,460
92129432,494,460
92129969,494,460
92130505,494,459
92131042,495,460
92131578,494,460
92132118,494,460
92132655,494,460
92133191,494,460
92133728,494,459
92134264,494,460
92134801,495,460
92135337,494,460
92135874,494,460
92136411,495,460
92136947,495,460
92137484,495,460
92138032,496,460
92138568,495,460
92139105,494,460
92139641,494,460
92140178,495,460
92140715,493,460
92141251,493,460
92141788,493,460
92142324,494,460
92142861,494,459
92143397,494,460
92143934,494,460
92144471,494,460
92145008,493,460
92145547,495,460
92146084,495,460
92146621,494,459
92147158,494,460
92147694,495,460
92148231,494,460
92148767,494,460
92149304,494,459
92149840,495,459
92150400,494,459
92150936,495,460
92151473,496,460
92152009,495,460
92152546,494,460
92153082,494,460
92153619,494,460
92154155,494,460
92154691,496,460
92155228,494,460
92155764,494,460
92156301,494,460
92156837,494,459
92157374,494,459
92157911,495,460
92158447,495,460
92158984,494,461
92159522,495,460
92160059,494,460
92160594,494,461
92161131,494,459
92161667,494,460
92162203,496,460
92162739,495,459
92163275,495,460
92163811,495,460
92164346,495,461
92164883,495,460
92165419,494,460
92165955,493,460
92166491,494,460
92167027,493,461
92167563,494,460
92168099,494,460
92168635,494,460
92169170,495,460
92169707,495,460
92170243,494,461
92170779,494,460
92171315,494,460
92171851,494,461
92172387,496,460
92172923,494,459
92173462,495,460
92173998,494,460
92174533,493,459
92175069,494,460
92175603,495,460
92176139,494,460
92176674,494,460
92177210,493,460
92177744,494,460
92178280,494,460
92178816,495,460
92179351,494,460
92179887,495,460
92180421,494,460
92180957,494,460
92181492,493,460
92182028,495,460
92182563,495,460
92183098,495,460
92183633,494,460
92184169,495,460
92184705,496,460
92185239,494,460
92185775,494,460
92186310,494,460
92186867,494,460
92187403,494,460
92187939,495,460
92188475,495,460
92189011,495,460
92189547,494,460
92190084,495,460
92190619,495,461
92191156,495,460
92191691,494,460
92192227,494,461
92192763,495,460
92193299,496,460
92193836,494,460
92194371,495,460
92194908,495,459
92195443,494,460
92195980,495,460
92196515,495,460
92197052,494,460
92197587,494,460
92198124,494,460
92198660,495,460
92199196,495,460
92199732,494,461
92200268,494,460
92200807,494,460
92201342,493,460
92201879,495,460
92202415,495,460
92202951,494,460
92203487,495,460
92204023,494,460
92204559,496,460
92205095,494,461
92205632,494,460
92206168,495,459
92206704,494,460
92207240,494,460
92207776,495,460
92208312,494,460
92208848,494,459
92209384,494,460
92209921,494,460
92210456,495,461
92210993,495,460
92211528,496,460
92212065,495,460
92212600,494,461
92213137,494,460
92213672,494,460
92214212,494,460
92214748,493,461
92215284,495,460
92215820,494,460
92216356,495,460
92216892,494,460
92217428,495,460
92217964,494,460
92218501,494,460
92219036,494,460
92219573,495,460
92220108,494,460
92220645,495,460
92221180,494,460
92221717,494,460
92222254,494,460
