Time, Reading1, Reading2
268,414,616
788,419,618
1308,423,621
1828,428,620
2348,430,620
2868,433,620
3388,435,620
3908,438,622
4428,437,620
4948,441,620
5468,440,618
5988,441,612
6508,442,628
7028,442,655
7548,444,652
8068,445,634
8588,445,647
9108,446,654
9628,444,652
10148,443,648
10668,444,650
11188,445,650
11708,446,652
12228,449,651
12748,449,654
13268,450,654
13788,451,652
14308,452,652
14828,452,652
15348,452,655
15868,454,652
16388,454,652
16908,454,655
17428,455,655
17948,457,653
18468,458,654
18988,458,655
19508,458,653
20028,458,656
20548,460,654
21068,461,653
21588,460,657
22108,461,657
22628,462,656
23148,461,659
23668,462,656
24188,462,658
24708,462,658
25228,465,657
25748,464,656
26268,463,658
26788,464,659
27308,465,660
27828,467,657
28348,466,656
28868,468,657
29388,468,657
29908,466,660
30428,467,660
30948,468,658
31468,469,659
31988,470,660
32508,469,661
33028,469,662
33548,470,661
34068,471,662
34588,471,661
35108,471,662
35628,473,660
36148,471,662
36668,472,662
37188,471,660
37708,472,660
38228,472,663
38748,472,662
39268,474,661
39788,471,663
40308,473,662
40828,474,662
41348,476,657
41868,474,658
42388,476,658
42908,477,660
43428,476,658
43948,476,658
44468,477,660
44988,476,659
45508,477,660
46028,476,659
46548,476,660
47068,477,661
47588,477,659
48108,477,662
48628,478,658
49148,477,661
49668,479,658
50188,478,660
50708,480,659
51228,478,661
51748,480,661
52268,479,661
52788,478,660
53308,479,659
53828,481,659
54348,480,659
54868,480,660
55388,479,662
55908,481,659
56428,481,662
56948,480,660
57468,482,661
57988,481,663
58508,481,660
59028,482,660
59548,481,660
60068,482,660
60588,482,662
61108,481,660
61628,483,659
62148,483,661
62668,481,662
63188,483,661
63708,483,661
64228,484,662
64748,482,663
65268,483,660
65788,484,660
66308,484,662
66828,485,660
67348,483,662
67868,485,661
68388,485,660
68908,483,662
69428,484,663
69948,485,662
70468,486,661
70988,483,662
71508,486,662
72028,485,663
72548,485,663
73068,485,661
73588,485,660
74108,485,662
74628,486,660
75148,485,662
75668,486,662
76188,486,661
76708,485,661
77228,486,663
77748,487,662
78268,486,662
78788,487,662
79308,486,661
79828,486,664
80348,486,663
80868,488,662
81388,487,661
81908,487,661
82428,486,662
82948,487,661
83468,488,663
83988,487,663
84508,488,663
85028,488,663
85548,487,663
86068,489,663
86588,487,664
87108,488,662
87628,489,662
88148,487,662
88668,486,664
89188,488,663
89708,490,661
90228,489,664
90748,490,661
91268,489,660
91788,488,664
92308,489,663
92828,488,663
93348,487,662
93868,488,662
94388,489,661
94908,487,663
95428,489,661
95948,488,663
96468,489,661
96988,490,661
97508,488,664
98028,490,664
98548,489,660
99068,488,662
99588,489,664
100108,489,660
100628,489,663
101148,490,662
101668,491,660
102188,491,663
102708,489,663
103228,489,660
103748,490,661
104268,489,662
104788,489,661
105308,489,662
105828,490,661
106348,489,664
106868,490,661
107388,488,662
107908,490,661
108428,489,662
108948,490,661
109468,491,661
109988,489,663
110508,491,660
111028,489,661
111548,491,661
112068,490,663
112588,490,663
113108,491,661
113628,489,662
114148,489,663
114668,490,661
115188,490,663
115708,489,662
116228,491,662
116748,491,661
117268,492,660
117788,489,662
118308,490,663
118828,490,660
119348,490,662
119868,491,661
120388,491,661
120908,490,661
121428,492,661
121948,490,662
122468,492,660
122988,490,662
123508,490,662
124028,490,660
124548,491,662
125068,491,663
125588,490,660
126108,490,661
126628,492,661
127148,490,662
127668,491,661
128188,490,660
128708,489,662
129228,491,659
129748,490,661
130268,490,661
130788,489,661
131308,489,660
131828,491,659
132348,489,660
132868,491,660
133388,491,660
133908,490,661
134428,490,660
134948,491,659
135468,490,661
135988,490,660
136508,490,660
137028,490,661
137548,491,660
138068,489,659
138588,489,659
139108,491,660
139628,490,660
140148,488,661
140668,489,660
141188,488,660
141708,489,662
142228,491,658
142748,491,659
143268,491,659
143788,491,660
144308,488,660
144828,488,661
145348,489,661
