Time, Reading1, Reading2
269, 511, 422
797, 515, 426
1326, 516, 430
1854, 518, 432
2382, 519, 434
2911, 521, 438
3439, 522, 438
3968, 523, 441
4496, 522, 443
5024, 524, 444
5553, 523, 445
6081, 525, 446
6609, 527, 447
7138, 526, 448
7666, 527, 448
8195, 528, 448
8723, 527, 449
9251, 527, 449
9780, 529, 448
10308, 528, 449
10836, 529, 450
11365, 529, 450
11893, 528, 451
12422, 529, 450
12951, 527, 451
13479, 529, 451
14008, 529, 452
14582, 528, 451
15111, 528, 453
15639, 529, 450
16169, 527, 453
16698, 529, 452
17226, 529, 453
17754, 528, 453
18282, 530, 451
18810, 529, 452
19338, 530, 451
19866, 529, 453
20395, 528, 452
20922, 529, 452
21450, 528, 452
21979, 528, 452
22507, 528, 452
23034, 530, 451
23563, 529, 452
24091, 528, 452
24619, 528, 452
25147, 528, 451
25675, 529, 452
26204, 528, 451
26731, 527, 452
27259, 529, 451
27788, 529, 451
28315, 527, 450
28844, 529, 450
29372, 527, 450
29900, 528, 450
30428, 526, 451
30956, 527, 451
31484, 526, 451
32015, 527, 451
32543, 528, 450
33072, 527, 450
33599, 527, 449
34127, 525, 451
34656, 527, 449
35183, 527, 450
35712, 527, 449
36240, 527, 449
36768, 527, 449
37296, 526, 449
37824, 526, 449
38352, 525, 449
38881, 525, 449
39408, 525, 448
39937, 527, 447
40465, 525, 448
40992, 525, 449
41521, 527, 448
42049, 525, 448
42577, 525, 448
43105, 524, 448
43633, 525, 448
44162, 525, 448
44689, 524, 448
45217, 526, 447
45746, 523, 448
46274, 525, 446
46802, 524, 447
47330, 523, 448
47858, 523, 447
48390, 524, 447
48918, 525, 445
49445, 524, 447
49974, 523, 447
50502, 524, 446
51031, 522, 447
51559, 523, 446
52086, 523, 446
52615, 524, 446
53143, 523, 445
53671, 523, 445
54199, 522, 444
54727, 522, 446
55256, 521, 445
55783, 523, 443
56311, 522, 444
56840, 522, 444
57368, 523, 444
57895, 521, 445
58424, 523, 444
58952, 522, 443
59481, 521, 444
60009, 521, 443
60536, 522, 444
61065, 522, 443
61593, 521, 444
62121, 521, 443
62649, 520, 443
63177, 522, 444
63706, 521, 443
64237, 521, 442
64764, 520, 443
65293, 521, 443
65821, 520, 443
